"2.1.3 Positive Cases Chg Line","2020-03-19","2020-06-02","","331","331","331","2020-03-19","2020-06-02","","331","331","331","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-20","2020-06-03","","218","218","218","2020-03-20","2020-06-03","","218","218","218","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-21","2020-06-04","","244","244","244","2020-03-21","2020-06-04","","244","244","244","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-22","2020-06-05","","265","265","265","2020-03-22","2020-06-05","","265","265","265","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-23","2020-06-06","","222","222","222","2020-03-23","2020-06-06","","222","222","222","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-24","2020-06-07","","580","580","580","2020-03-24","2020-06-07","","580","580","580","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-25","2020-06-08","","471","471","471","2020-03-25","2020-06-08","","471","471","471","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-26","2020-06-09","","795","795","795","2020-03-26","2020-06-09","","795","795","795","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-27","2020-06-10","","842","842","842","2020-03-27","2020-06-10","","842","842","842","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-28","2020-06-11","","640","640","640","2020-03-28","2020-06-11","","640","640","640","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-29","2020-06-12","","480","480","480","2020-03-29","2020-06-12","","480","480","480","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-30","2020-06-13","","1169","1169","1169","2020-03-30","2020-06-13","","1169","1169","1169","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-31","2020-06-14","","1223","1223","1223","2020-03-31","2020-06-14","","1223","1223","1223","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-01","2020-06-15","","1036","1036","1036","2020-04-01","2020-06-15","","1036","1036","1036","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-02","2020-06-16","","1510","1510","1510","2020-04-02","2020-06-16","","1510","1510","1510","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-03","2020-06-17","","1325","1325","1325","2020-04-03","2020-06-17","","1325","1325","1325","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-04","2020-06-18","","1412","1412","1412","2020-04-04","2020-06-18","","1412","1412","1412","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-05","2020-06-19","","898","898","898","2020-04-05","2020-06-19","","898","898","898","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-06","2020-06-20","","1529","1529","1529","2020-04-06","2020-06-20","","1529","1529","1529","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-07","2020-06-21","","1092","1092","1092","2020-04-07","2020-06-21","","1092","1092","1092","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-08","2020-06-22","","1352","1352","1352","2020-04-08","2020-06-22","","1352","1352","1352","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-09","2020-06-23","","1163","1163","1163","2020-04-09","2020-06-23","","1163","1163","1163","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-10","2020-06-24","","1143","1143","1143","2020-04-10","2020-06-24","","1143","1143","1143","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-11","2020-06-25","","1179","1179","1179","2020-04-11","2020-06-25","","1179","1179","1179","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-12","2020-06-26","","554","554","554","2020-04-12","2020-06-26","","554","554","554","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-13","2020-06-27","","990","990","990","2020-04-13","2020-06-27","","990","990","990","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-14","2020-06-28","","1086","1086","1086","2020-04-14","2020-06-28","","1086","1086","1086","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-15","2020-06-29","","1758","1758","1758","2020-04-15","2020-06-29","","1758","1758","1758","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-16","2020-06-30","","1346","1346","1346","2020-04-16","2020-06-30","","1346","1346","1346","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-17","2020-07-01","","1435","1435","1435","2020-04-17","2020-07-01","","1435","1435","1435","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-18","2020-07-02","","1370","1370","1370","2020-04-18","2020-07-02","","1370","1370","1370","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-19","2020-07-03","","645","645","645","2020-04-19","2020-07-03","","645","645","645","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-20","2020-07-04","","2283","2283","2283","2020-04-20","2020-07-04","","2283","2283","2283","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-21","2020-07-05","","2135","2135","2135","2020-04-21","2020-07-05","","2135","2135","2135","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-22","2020-07-06","","1973","1973","1973","2020-04-22","2020-07-06","","1973","1973","1973","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-23","2020-07-07","","1885","1885","1885","2020-04-23","2020-07-07","","1885","1885","1885","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-24","2020-07-08","","1883","1883","1883","2020-04-24","2020-07-08","","1883","1883","1883","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-25","2020-07-09","","1027","1027","1027","2020-04-25","2020-07-09","","1027","1027","1027","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-26","2020-07-10","","1300","1300","1300","2020-04-26","2020-07-10","","1300","1300","1300","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-27","2020-07-11","","1567","1567","1567","2020-04-27","2020-07-11","","1567","1567","1567","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-28","2020-07-12","","1469","1469","1469","2020-04-28","2020-07-12","","1469","1469","1469","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-29","2020-07-13","","2417","2417","2417","2020-04-29","2020-07-13","","2417","2417","2417","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-30","2020-07-14","","1525","1525","1525","2020-04-30","2020-07-14","","1525","1525","1525","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-01","2020-07-15","","1755","1755","1755","2020-05-01","2020-07-15","","1755","1755","1755","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-02","2020-07-16","","1419","1419","1419","2020-05-02","2020-07-16","","1419","1419","1419","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-03","2020-07-17","","1321","1321","1321","2020-05-03","2020-07-17","","1321","1321","1321","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-04","2020-07-18","","1275","1275","1275","2020-05-04","2020-07-18","","1275","1275","1275","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-05","2020-07-19","","2603","2603","2603","2020-05-05","2020-07-19","","2603","2603","2603","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-06","2020-07-20","","1799","1799","1799","2020-05-06","2020-07-20","","1799","1799","1799","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-07","2020-07-21","","1898","1898","1898","2020-05-07","2020-07-21","","1898","1898","1898","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-08","2020-07-22","","2049","2049","2049","2020-05-08","2020-07-22","","2049","2049","2049","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-09","2020-07-23","","2119","2119","2119","2020-05-09","2020-07-23","","2119","2119","2119","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-10","2020-07-24","","1259","1259","1259","2020-05-10","2020-07-24","","1259","1259","1259","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-11","2020-07-25","","1443","1443","1443","2020-05-11","2020-07-25","","1443","1443","1443","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-12","2020-07-26","","1759","1759","1759","2020-05-12","2020-07-26","","1759","1759","1759","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-13","2020-07-27","","2023","2023","2023","2020-05-13","2020-07-27","","2023","2023","2023","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-14","2020-07-28","","1772","1772","1772","2020-05-14","2020-07-28","","1772","1772","1772","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-15","2020-07-29","","1857","1857","1857","2020-05-15","2020-07-29","","1857","1857","1857","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-16","2020-07-30","","2046","2046","2046","2020-05-16","2020-07-30","","2046","2046","2046","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-17","2020-07-31","","1591","1591","1591","2020-05-17","2020-07-31","","1591","1591","1591","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-18","2020-08-01","","1365","1365","1365","2020-05-18","2020-08-01","","1365","1365","1365","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-19","2020-08-02","","2262","2262","2262","2020-05-19","2020-08-02","","2262","2262","2262","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-20","2020-08-03","","2140","2140","2140","2020-05-20","2020-08-03","","2140","2140","2140","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-21","2020-08-04","","2247","2247","2247","2020-05-21","2020-08-04","","2247","2247","2247","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-22","2020-08-05","","2187","2187","2187","2020-05-22","2020-08-05","","2187","2187","2187","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-23","2020-08-06","","2079","2079","2079","2020-05-23","2020-08-06","","2079","2079","2079","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-24","2020-08-07","","1848","1848","1848","2020-05-24","2020-08-07","","1848","1848","1848","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-25","2020-08-08","","2175","2175","2175","2020-05-25","2020-08-08","","2175","2175","2175","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-26","2020-08-09","","2247","2247","2247","2020-05-26","2020-08-09","","2247","2247","2247","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-27","2020-08-10","","2717","2717","2717","2020-05-27","2020-08-10","","2717","2717","2717","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-28","2020-08-11","","2189","2189","2189","2020-05-28","2020-08-11","","2189","2189","2189","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-29","2020-08-12","","2992","2992","2992","2020-05-29","2020-08-12","","2992","2992","2992","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-30","2020-08-13","","3705","3705","3705","2020-05-30","2020-08-13","","3705","3705","3705","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-31","2020-08-14","","2423","2423","2423","2020-05-31","2020-08-14","","2423","2423","2423","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-01","2020-08-15","","2304","2304","2304","2020-06-01","2020-08-15","","2304","2304","2304","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-02","2020-08-16","","2377","2377","2377","2020-06-02","2020-08-16","","2377","2377","2377","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-03","2020-08-17","","2120","2120","2120","2020-06-03","2020-08-17","","2120","2120","2120","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-04","2020-08-18","","3094","3094","3094","2020-06-04","2020-08-18","","3094","3094","3094","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-05","2020-08-19","","3115","3115","3115","2020-06-05","2020-08-19","","3115","3115","3115","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-06","2020-08-20","","2796","2796","2796","2020-06-06","2020-08-20","","2796","2796","2796","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-07","2020-08-21","","2507","2507","2507","2020-06-07","2020-08-21","","2507","2507","2507","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-08","2020-08-22","","2170","2170","2170","2020-06-08","2020-08-22","","2170","2170","2170","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-09","2020-08-23","","2702","2702","2702","2020-06-09","2020-08-23","","2702","2702","2702","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-10","2020-08-24","","3090","3090","3090","2020-06-10","2020-08-24","","3090","3090","3090","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-11","2020-08-25","","2702","2702","2702","2020-06-11","2020-08-25","","2702","2702","2702","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-12","2020-08-26","","3660","3660","3660","2020-06-12","2020-08-26","","3660","3660","3660","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-13","2020-08-27","","3212","3212","3212","2020-06-13","2020-08-27","","3212","3212","3212","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-14","2020-08-28","","2597","2597","2597","2020-06-14","2020-08-28","","2597","2597","2597","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-15","2020-08-29","","2108","2108","2108","2020-06-15","2020-08-29","","2108","2108","2108","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-16","2020-08-30","","3455","3455","3455","2020-06-16","2020-08-30","","3455","3455","3455","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-17","2020-09-01","","4084","4084","4084","2020-06-17","2020-09-01","","4084","4084","4084","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-18","2020-09-07","","4317","4317","4317","2020-06-18","2020-09-07","","4317","4317","4317","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-19","","","3893","3893","3893","2020-06-19","","","3893","3893","3893","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-20","","","4515","4515","4515","2020-06-20","","","4515","4515","4515","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-21","","","4230","4230","4230","2020-06-21","","","4230","4230","4230","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-22","","","5019","5019","5019","2020-06-22","","","5019","5019","5019","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-23","","","7149","7149","7149","2020-06-23","","","7149","7149","7149","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-24","","","5349","5349","5349","2020-06-24","","","5349","5349","5349","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-25","","","5269","5269","5269","2020-06-25","","","5269","5269","5269","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-26","","","6209","6209","6209","2020-06-26","","","6209","6209","6209","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-27","","","5120","5120","5120","2020-06-27","","","5120","5120","5120","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-28","","","7083","7083","7083","2020-06-28","","","7083","7083","7083","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-29","","","9480","9480","9480","2020-06-29","","","9480","9480","9480","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-30","","","7407","7407","7407","2020-06-30","","","7407","7407","7407","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-01","","","6408","6408","6408","2020-07-01","","","6408","6408","6408","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-02","","","5688","5688","5688","2020-07-02","","","5688","5688","5688","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-03","","","9153","9153","9153","2020-07-03","","","9153","9153","9153","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-04","","","8597","8597","8597","2020-07-04","","","8597","8597","8597","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-05","","","5699","5699","5699","2020-07-05","","","5699","5699","5699","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-06","","","6090","6090","6090","2020-07-06","","","6090","6090","6090","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-07","","","11694","11694","11694","2020-07-07","","","11694","11694","11694","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-08","","","7031","7031","7031","2020-07-08","","","7031","7031","7031","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-09","","","7798","7798","7798","2020-07-09","","","7798","7798","7798","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-10","","","8047","8047","8047","2020-07-10","","","8047","8047","8047","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-11","","","8460","8460","8460","2020-07-11","","","8460","8460","8460","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-12","","","8358","8358","8358","2020-07-12","","","8358","8358","8358","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-13","","","7346","7346","7346","2020-07-13","","","7346","7346","7346","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-14","","","11126","11126","11126","2020-07-14","","","11126","11126","11126","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-15","","","8544","8544","8544","2020-07-15","","","8544","8544","8544","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-16","","","9986","9986","9986","2020-07-16","","","9986","9986","9986","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-17","","","9199","9199","9199","2020-07-17","","","9199","9199","9199","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-18","","","9329","9329","9329","2020-07-18","","","9329","9329","9329","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-19","","","6846","6846","6846","2020-07-19","","","6846","6846","6846","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-20","","","9231","9231","9231","2020-07-20","","","9231","9231","9231","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-21","","","12807","12807","12807","2020-07-21","","","12807","12807","12807","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-22","","","12040","12040","12040","2020-07-22","","","12040","12040","12040","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-23","","","9718","9718","9718","2020-07-23","","","9718","9718","9718","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-24","","","10066","10066","10066","2020-07-24","","","10066","10066","10066","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-25","","","8259","8259","8259","2020-07-25","","","8259","8259","8259","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-26","","","6891","6891","6891","2020-07-26","","","6891","6891","6891","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-27","","","6000","6000","6000","2020-07-27","","","6000","6000","6000","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-28","","","8755","8755","8755","2020-07-28","","","8755","8755","8755","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-29","","","10197","10197","10197","2020-07-29","","","10197","10197","10197","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-30","","","8086","8086","8086","2020-07-30","","","8086","8086","8086","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-31","","","6542","6542","6542","2020-07-31","","","6542","6542","6542","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-01","","","9032","9032","9032","2020-08-01","","","9032","9032","9032","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-02","","","5739","5739","5739","2020-08-02","","","5739","5739","5739","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-03","","","4526","4526","4526","2020-08-03","","","4526","4526","4526","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-04","","","5295","5295","5295","2020-08-04","","","5295","5295","5295","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-05","","","5258","5258","5258","2020-08-05","","","5258","5258","5258","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-06","","","8436","8436","8436","2020-08-06","","","8436","8436","8436","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-07","","","7371","7371","7371","2020-08-07","","","7371","7371","7371","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-08","","","8373","8373","8373","2020-08-08","","","8373","8373","8373","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-09","","","7751","7751","7751","2020-08-09","","","7751","7751","7751","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-10","","","12500","12500","12500","2020-08-10","","","12500","12500","12500","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-11","","","11645","11645","11645","2020-08-11","","","11645","11645","11645","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-12","","","7085","7085","7085","2020-08-12","","","7085","7085","7085","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-13","","","7934","7934","7934","2020-08-13","","","7934","7934","7934","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-14","","","12614","12614","12614","2020-08-14","","","12614","12614","12614","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-15","","","7873","7873","7873","2020-08-15","","","7873","7873","7873","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-16","","","6469","6469","6469","2020-08-16","","","6469","6469","6469","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-17","","","4636","4636","4636","2020-08-17","","","4636","4636","4636","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-18","","","6164","6164","6164","2020-08-18","","","6164","6164","6164","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-19","","","5920","5920","5920","2020-08-19","","","5920","5920","5920","","","","","",""
